nombre,spend,impressions,link_clicks,conversations,add_to_cart,reach,ctr,cpc,cpm,cost_per_msg
Pucón,137619,93720,1574,13,20,78729,1.6794707639778064,87.43265565438374,1468.4058898847632,10586.076923076924
publico pucon,136933,112545,726,228,10,92843,0.6450753032120485,188.6129476584022,1216.6955440046204,600.5833333333334
publico multiple,120621,118678,1129,561,30,107656,0.9513136385850789,106.83879539415412,1016.3720318845952,215.01069518716577
Multiple 2,103845,88820,1534,13,20,79967,1.7270884935825266,67.69556714471969,1169.162350821887,7988.076923076923
pucon lluvia - popeye,80098,65209,300,129,0,51494,0.46005919428299774,266.99333333333334,1228.327378122652,620.9147286821706
todo publico lluvia - popeye,8544,7203,34,12,0,6422,0.47202554491184223,251.2941176470588,1186.1724281549355,712.0
